Wavelength,Flux,BestFit,SkyFlux
4586.696,69.162,67.235,12.881
4587.754,67.315,69.329,13.218
4588.809,69.796,73.183,13.932
4589.865,71.515,71.013,14.045
4590.923,70.139,73.079,14.000
4591.980,67.763,71.182,13.752
4593.038,67.244,65.812,13.452
4594.095,68.684,63.561,13.426
4595.154,68.923,64.321,13.299
4596.212,67.546,60.320,13.026
4597.269,67.043,64.962,13.100
4598.329,67.051,68.925,13.251
4599.387,67.668,68.961,13.194
4600.447,67.176,68.477,13.313
4601.506,68.035,68.543,13.021
4602.567,64.700,68.037,12.515
4603.626,66.099,67.133,12.793
4604.685,67.116,64.156,12.969
4605.747,66.238,63.340,12.878
4606.806,67.599,66.621,12.908
4607.868,67.832,67.637,12.839
4608.928,65.248,65.333,13.089
4609.991,67.103,64.700,13.891
4611.052,68.084,65.962,14.380
4612.113,66.336,66.906,13.895
4613.176,66.406,66.204,13.353
4614.237,64.470,64.797,13.409
4615.301,68.799,63.841,13.512
4616.363,69.070,66.099,13.349
4617.428,69.882,68.823,13.164
4618.490,66.149,69.840,13.582
4619.552,68.718,69.837,13.420
4620.618,65.548,70.251,13.082
4621.681,70.305,67.554,13.676
4622.746,66.375,66.193,13.930
4623.810,63.900,63.641,13.644
4624.876,66.810,62.510,13.559
4625.940,68.078,65.653,13.585
4627.004,69.758,69.266,13.488
4628.071,71.124,69.707,13.461
4629.136,69.510,67.840,13.715
4630.203,69.478,68.211,13.631
4631.268,71.482,69.714,13.179
4632.336,70.169,69.682,13.385
4633.402,67.227,68.590,13.242
4634.468,70.578,65.463,13.328
4635.537,68.084,64.999,13.760
4636.603,67.575,67.773,13.359
4637.672,66.754,68.114,12.925
4638.739,69.018,65.852,13.025
4639.809,65.565,68.397,12.532
4640.876,66.653,65.337,12.503
4641.944,69.110,66.603,13.043
4643.014,69.495,68.313,13.462
4644.082,68.839,68.490,13.425
4645.153,68.005,68.084,13.060
4646.222,68.213,66.978,12.504
4647.293,69.227,66.442,11.941
4648.362,68.432,66.573,11.646
4649.432,67.274,64.584,11.819
4650.504,68.260,64.413,12.503
4651.574,68.508,68.230,13.106
4652.646,75.741,70.145,12.975
4653.717,69.684,71.043,12.669
4654.790,73.521,70.002,12.493
4655.861,69.489,70.371,12.545
4656.934,69.603,71.707,12.916
4658.006,69.652,72.195,13.498
4659.077,69.392,71.253,14.228
4660.152,65.506,64.962,14.714
4661.224,66.118,63.970,14.781
4662.299,65.675,61.206,14.736
4663.371,64.336,59.514,14.404
4664.446,66.204,63.213,14.045
4665.520,68.388,66.135,13.969
4666.593,68.415,69.247,13.762
4667.669,67.684,69.449,13.251
4668.743,71.434,71.193,12.806
4669.819,71.601,71.086,13.161
4670.894,66.312,66.748,14.423
4671.971,68.787,65.515,14.726
4673.046,69.270,67.589,14.325
4674.121,70.360,66.393,14.227
4675.198,67.754,68.540,14.144
4676.274,66.847,71.716,14.309
4677.352,68.201,70.481,14.399
4678.428,66.491,67.847,14.084
4679.507,70.397,69.164,13.429
4680.584,70.215,73.148,13.233
4681.660,68.688,73.316,13.463
4682.740,68.442,71.085,13.790
4683.817,69.188,69.165,13.893
4684.897,69.633,66.423,14.028
4685.975,68.347,70.909,13.872
4687.056,71.229,74.331,13.500
4688.134,71.714,73.385,13.609
4689.212,68.072,71.443,13.410
4690.294,67.540,71.075,12.977
4691.373,72.340,70.609,12.827
4692.454,70.737,73.144,12.900
4693.534,72.517,69.753,13.538
4694.616,69.239,68.992,13.311
4695.696,70.054,70.638,13.207
4696.777,72.102,69.684,13.733
4697.860,73.118,68.300,13.289
4698.940,72.935,70.030,12.558
4700.024,71.268,66.429,12.435
4701.105,69.816,64.488,12.555
4702.189,70.806,67.291,12.554
4703.271,71.923,69.372,12.325
4704.353,70.541,65.671,12.132
4705.438,68.575,68.694,12.258
4706.520,68.368,69.969,12.389
4707.606,69.434,68.414,12.566
4708.689,68.977,66.812,12.545
4709.774,69.674,66.707,12.563
4710.858,68.230,66.408,12.607
4711.942,71.381,64.069,13.214
4713.028,70.974,61.596,13.283
4714.112,68.244,62.642,12.540
4715.199,64.588,66.941,12.246
4716.284,67.484,68.433,12.190
4717.372,66.465,62.139,12.505
4718.457,67.472,62.993,13.147
4719.542,67.571,67.799,13.425
4720.631,67.928,70.638,13.268
4721.717,70.903,70.675,12.925
4722.805,70.316,69.708,12.780
4723.892,68.624,68.320,13.059
4724.981,69.302,66.572,13.594
4726.068,67.189,66.546,13.810
4727.155,66.593,66.511,13.431
4728.246,69.916,66.493,12.516
4729.333,68.722,67.496,12.147
4730.424,69.514,68.770,12.437
4731.512,70.563,68.343,12.155
4732.603,67.064,65.860,12.330
4733.692,67.834,63.221,12.430
4734.781,67.408,62.071,12.200
4735.873,68.095,63.365,12.792
4736.962,66.493,66.369,12.764
4738.054,66.469,66.137,12.787
4739.144,65.597,65.022,13.438
4740.237,68.841,63.711,13.696
4741.328,68.295,65.141,13.311
4742.421,67.585,68.332,13.037
4743.512,70.714,66.671,13.169
4744.603,70.575,67.051,13.264
4745.697,71.406,72.296,13.105
4746.789,71.988,73.536,13.108
4747.884,67.691,68.532,13.147
4748.976,70.578,63.626,12.897
4750.071,68.078,65.215,12.560
4751.164,70.458,66.561,12.685
4752.257,69.700,68.342,12.933
4753.353,72.579,69.033,12.704
4754.446,70.302,70.510,12.698
4755.543,70.424,71.857,12.587
4756.637,70.290,67.272,12.474
4757.734,70.016,65.486,12.250
4758.828,68.264,67.888,11.844
4759.923,71.709,67.956,12.085
4761.020,69.231,66.061,12.591
4762.116,70.235,66.377,12.500
4763.214,71.156,68.865,11.978
4764.310,71.433,69.355,11.950
4765.408,69.966,65.065,12.174
4766.504,65.922,64.057,11.978
4767.601,67.042,64.615,11.627
4768.700,69.991,62.573,11.854
4769.797,67.821,62.416,12.099
4770.897,69.263,65.233,12.316
4771.995,71.099,67.387,12.298
4773.095,70.220,68.888,12.018
4774.193,71.762,68.128,12.187
4775.292,68.431,66.001,12.655
4776.393,66.606,66.964,12.595
4777.492,71.439,64.101,12.507
4778.593,70.228,64.507,13.014
4779.693,67.577,65.571,13.362
4780.795,71.236,64.676,13.220
4781.895,66.476,64.260,12.763
4782.995,70.004,67.898,12.368
4784.098,69.885,66.964,12.241
4785.198,68.623,66.269,12.069
4786.302,70.456,65.791,12.017
4787.403,68.512,66.923,12.282
4788.507,68.195,69.915,12.565
4789.608,70.560,70.495,12.221
4790.710,70.759,68.358,11.795
4791.815,69.429,68.073,12.197
4792.917,68.399,69.938,12.924
4794.022,69.786,70.888,12.890
4795.125,72.144,70.020,12.766
4796.231,71.620,70.447,12.790
4797.334,70.819,69.580,12.692
4798.438,69.540,69.137,12.557
4799.545,72.798,67.175,12.077
4800.649,73.335,66.131,11.611
4801.756,70.543,67.141,12.103
4802.860,69.786,66.193,12.130
4803.968,70.960,68.965,12.353
4805.073,73.326,67.409,12.840
4806.178,67.448,66.250,12.376
4807.287,71.045,68.563,12.050
4808.393,70.658,71.321,11.964
4809.501,68.442,70.310,12.033
4810.608,71.950,70.543,12.210
4811.717,71.087,69.860,12.238
4812.824,69.870,69.264,12.337
4813.931,71.137,69.227,12.500
4815.041,71.926,68.705,12.592
4816.149,70.063,67.292,12.949
4817.260,67.237,68.627,13.650
4818.368,68.898,68.719,13.646
4819.479,70.935,68.709,13.328
4820.588,70.040,68.504,13.787
4821.697,67.502,67.926,14.095
4822.809,69.375,68.652,13.525
4823.918,72.231,68.116,13.045
4825.030,71.117,68.385,12.903
4826.140,71.263,67.457,13.048
4827.253,69.711,66.877,13.414
4828.364,70.560,68.434,13.679
4829.477,68.836,69.793,13.465
4830.588,69.089,71.565,13.154
4831.699,68.997,73.189,13.075
4832.814,73.527,72.046,13.110
4833.925,69.455,68.161,13.400
4835.040,69.448,64.423,13.622
4836.152,71.494,63.729,13.289
4837.268,71.477,64.286,12.887
4838.380,68.134,66.986,13.026
4839.493,67.390,68.571,13.231
4840.609,69.855,68.170,13.046
4841.723,68.467,67.807,12.879
4842.840,67.475,68.743,12.804
4843.954,70.431,67.100,12.696
4845.071,70.744,65.384,12.509
4846.185,71.644,68.504,12.489
4847.300,73.930,71.612,12.871
4848.418,71.603,70.027,12.818
4849.533,72.159,69.632,12.140
4850.652,72.506,71.216,11.744
4851.767,70.243,69.455,11.743
4852.886,69.494,68.343,12.242
4854.003,68.970,66.984,12.462
4855.119,70.380,64.155,11.888
4856.239,69.329,64.338,11.066
4857.356,67.081,63.432,10.522
4858.476,67.251,64.712,10.633
4859.594,65.570,66.055,10.429
4860.714,68.657,69.085,10.193
4861.833,69.337,72.302,10.284
4862.951,67.421,68.704,10.467
4864.072,68.400,71.699,10.165
4865.191,67.654,71.968,9.993
4866.313,68.145,71.633,10.492
4867.433,70.117,70.471,10.892
4868.555,71.346,68.168,11.188
4869.675,70.278,69.193,11.709
4870.796,69.080,69.201,11.845
4871.919,70.317,69.656,10.899
4873.039,71.280,72.490,10.083
4874.163,71.307,74.487,10.384
4875.284,71.370,73.620,10.897
4876.409,73.213,73.947,11.174
4877.531,72.360,73.203,11.426
4878.653,72.278,70.889,11.541
4879.778,70.740,70.995,11.809
4880.900,71.104,71.255,11.997
4882.026,69.646,69.913,12.231
4883.149,70.308,71.594,12.406
4884.275,69.081,70.474,12.298
4885.398,69.352,71.901,12.162
4886.522,69.409,71.983,11.779
4887.649,70.263,69.935,11.208
4888.774,68.159,67.830,11.581
4889.901,70.118,66.205,11.779
4891.026,69.077,67.535,11.284
4892.154,68.175,67.608,10.948
4893.279,69.757,66.311,11.139
4894.405,68.363,65.371,11.574
4895.533,67.804,66.526,12.088
4896.660,67.819,68.847,12.491
4897.789,68.103,64.941,12.400
4898.916,67.618,65.567,12.107
4900.045,68.131,67.462,12.087
4901.172,68.993,67.309,11.898
4902.300,68.051,66.647,11.824
4903.430,67.686,68.197,12.203
4904.558,68.377,68.417,11.908
4905.689,68.383,65.585,11.979
4906.818,66.151,66.739,12.481
4907.950,68.594,68.369,12.097
4909.079,69.639,66.856,12.061
4910.208,70.964,69.331,11.805
4911.340,68.392,68.116,11.283
4912.470,72.384,68.699,11.385
4913.603,67.604,68.520,11.751
4914.733,70.199,67.847,11.723
4915.867,71.247,68.956,12.310
4916.997,68.950,70.127,12.565
4918.131,68.304,67.609,11.928
4919.263,67.562,66.234,11.425
4920.394,67.513,64.923,10.248
4921.529,66.539,63.612,9.651
4922.661,68.003,63.889,10.254
4923.796,66.815,65.917,10.703
4924.929,69.119,67.680,11.008
4926.065,69.990,68.958,11.345
4927.198,69.520,68.503,11.618
4928.331,67.226,68.058,11.603
4929.468,68.632,68.839,11.603
4930.602,67.957,67.723,11.599
4931.739,68.065,64.406,11.527
4932.873,69.036,64.698,11.628
4934.011,68.859,65.532,11.509
4935.146,68.938,65.741,11.029
4936.281,68.028,66.395,11.052
4937.420,66.905,67.456,11.508
4938.556,65.653,70.370,11.654
4939.694,68.238,67.194,11.303
4940.831,71.804,65.121,11.055
4941.970,70.111,67.102,11.297
4943.107,69.588,68.100,11.815
4944.244,68.233,64.341,11.902
4945.384,68.050,66.806,11.599
4946.522,69.116,67.050,11.315
4947.663,68.169,64.138,11.274
4948.801,66.885,63.112,11.737
4949.942,68.979,65.501,11.737
4951.081,65.165,65.476,11.894
4952.220,66.078,66.033,11.889
4953.362,67.772,65.210,11.834
4954.501,67.138,63.696,12.207
4955.644,64.479,62.339,12.102
4956.784,68.298,61.504,11.672
4957.927,66.665,61.421,10.905
4959.067,69.674,61.707,10.187
4960.208,68.150,66.282,10.950
4961.352,66.246,67.048,11.869
4962.493,69.642,65.608,11.860
4963.638,72.852,67.114,12.069
4964.779,66.441,67.506,12.005
4965.924,66.101,66.191,11.813
4967.067,66.936,67.515,12.213
4968.209,68.629,69.508,12.521
4969.355,70.006,69.908,12.375
4970.498,67.312,68.866,12.241
4971.644,66.823,68.428,12.456
4972.788,65.720,69.370,12.972
4973.935,66.252,68.441,13.138
4975.079,70.027,66.167,13.015
4976.224,67.864,65.245,13.641
4977.371,66.155,66.636,13.956
4978.516,66.351,67.233,13.701
4979.664,66.919,65.123,13.829
4980.810,68.311,65.551,14.267
4981.958,68.237,68.440,14.003
4983.104,64.447,68.031,14.271
4984.251,67.775,63.686,13.591
4985.400,68.732,65.057,13.272
4986.547,69.410,68.065,14.055
4987.697,67.390,70.018,13.950
4988.844,70.202,69.519,14.336
4989.995,69.168,69.084,13.575
4991.143,68.191,69.068,12.870
4992.291,72.268,65.160,12.879
4993.442,66.249,65.853,12.882
4994.591,68.264,65.732,12.701
4995.743,67.147,64.692,12.539
4996.892,69.181,64.320,12.436
4998.044,70.072,64.794,12.474
4999.194,66.217,64.819,12.198
5000.344,65.636,64.551,11.872
5001.497,66.332,62.330,11.422
5002.648,66.344,61.998,11.004
5003.801,68.250,64.881,11.047
5004.952,66.939,66.700,11.217
5006.106,68.220,62.821,11.131
5007.258,66.700,64.262,10.799
5008.413,65.894,66.713,10.624
5009.565,65.834,65.689,11.014
5010.717,66.494,65.107,11.284
5011.873,68.142,67.898,10.983
5013.026,66.042,68.005,10.594
5014.182,67.343,68.927,10.196
5015.335,68.283,69.550,10.253
5016.492,68.263,65.953,10.901
5017.646,68.098,63.221,10.839
5018.800,67.130,64.708,10.299
5019.958,65.856,62.327,10.414
5021.112,64.250,62.304,10.842
5022.270,67.295,62.487,11.016
5023.426,66.149,65.015,10.677
5024.584,65.786,66.442,10.280
5025.740,68.375,64.307,10.595
5026.896,67.229,63.836,10.684
5028.055,65.123,58.690,10.529
5029.212,66.153,58.581,10.831
5030.372,66.666,62.058,10.689
5031.529,63.487,65.075,10.979
5032.689,65.396,65.724,11.306
5033.847,65.840,64.067,11.080
5035.005,63.892,60.646,11.255
5036.166,62.906,61.468,10.717
5037.325,63.139,61.850,10.003
5038.486,64.673,61.853,10.483
5039.645,66.959,63.288,10.485
5040.807,67.705,62.331,9.718
5041.967,65.320,61.555,9.370
5043.127,64.772,60.123,9.374
5044.290,64.903,59.199,9.763
5045.450,64.818,58.203,10.745
5046.614,66.689,56.698,11.151
5047.775,64.046,56.449,11.162
5048.939,65.949,54.708,10.885
5050.100,64.926,53.614,10.339
5051.262,67.293,50.624,10.357
5052.427,69.171,50.146,10.452
5053.589,73.194,56.664,10.445
5054.754,87.290,73.944,10.397
5055.917,133.913,141.239,10.695
5057.083,272.730,242.340,11.024
5058.247,412.721,300.701,10.975
5059.410,373.442,268.913,10.613
5060.577,208.449,169.862,10.793
5061.741,100.673,87.619,10.954
5062.908,69.222,58.421,10.933
5064.073,61.451,51.377,11.017
5065.241,59.766,49.238,10.780
5066.406,59.086,50.400,10.470
5067.572,57.558,53.075,10.538
5068.740,58.805,49.548,10.674
5069.906,61.392,51.500,10.621
5071.075,60.482,54.150,10.804
5072.242,60.088,55.421,10.796
5073.412,60.724,55.874,10.535
5074.579,62.032,56.521,10.614
5075.746,64.917,57.935,10.783
5076.917,62.425,60.776,10.909
5078.084,60.817,61.887,10.835
5079.255,64.279,61.138,10.486
5080.424,64.957,59.515,10.263
5081.595,64.201,58.294,10.285
5082.764,62.750,58.455,10.556
5083.934,63.736,58.117,11.049
5085.106,64.843,58.070,11.426
5086.276,64.020,56.903,11.621
5087.449,65.608,57.465,12.080
5088.619,63.983,59.781,12.290
5089.793,62.294,56.529,11.814
5090.964,62.403,57.479,11.396
5092.135,65.471,60.790,11.052
5093.309,69.286,64.337,10.588
5094.481,69.053,66.446,10.809
5095.655,70.428,66.687,11.057
5096.828,67.575,66.017,10.833
5098.003,67.921,62.392,10.434
5099.176,64.990,62.751,10.056
5100.352,66.945,63.497,10.012
5101.525,67.359,63.949,10.404
5102.699,65.991,65.153,10.957
5103.875,68.069,64.533,10.508
5105.049,66.790,66.343,10.488
5106.227,65.100,66.105,10.677
5107.401,65.599,63.821,10.276
5108.579,65.205,61.693,10.150
5109.754,67.984,61.386,10.078
5110.930,65.158,62.940,9.847
5112.108,66.014,65.918,10.281
5113.284,70.338,66.627,10.780
5114.463,65.214,68.078,10.736
5115.640,67.789,68.370,10.642
5116.820,67.567,65.325,10.653
5117.997,64.061,63.298,10.465
5119.174,63.471,57.565,10.326
5120.355,63.493,56.380,10.788
5121.533,63.368,57.816,10.613
5122.714,64.762,59.742,10.237
5123.892,66.976,60.321,10.019
5125.074,63.157,57.738,9.572
5126.253,67.687,64.700,9.217
5127.432,68.254,69.492,9.534
5128.614,68.329,71.139,9.863
5129.794,66.531,70.336,9.921
5130.977,65.601,67.918,9.982
5132.157,66.771,66.849,10.437
5133.341,65.911,63.114,10.778
5134.522,66.742,61.881,10.557
5135.703,65.573,62.656,10.688
5136.887,64.435,62.432,10.766
5138.069,64.924,60.327,10.391
5139.254,67.560,60.106,10.347
5140.436,67.407,65.024,10.326
5141.621,67.217,65.439,10.170
5142.804,70.003,66.553,10.590
5143.987,70.520,69.334,10.857
5145.174,70.211,69.959,10.847
5146.357,69.682,68.965,10.910
5147.544,70.101,68.407,10.735
5148.728,73.647,69.918,10.855
5149.915,74.195,69.169,11.244
5151.100,74.986,68.480,11.445
5152.285,75.121,70.879,11.355
5153.473,77.892,70.904,11.425
5154.659,76.177,71.111,11.825
5155.847,80.685,75.270,11.977
5157.034,88.189,85.723,11.701
5158.223,107.476,102.972,11.298
5159.409,145.431,120.573,10.774
5160.596,153.551,123.145,10.525
5161.786,122.853,106.399,10.543
5162.974,89.203,86.606,10.447
5164.164,74.220,75.374,10.165
5165.352,68.880,71.139,9.868
5166.544,69.406,67.519,9.498
5167.732,68.579,64.741,8.692
5168.921,65.602,65.587,7.981
5170.113,66.249,66.373,8.316
5171.302,67.134,65.253,8.868
5172.495,66.741,64.544,8.444
5173.685,67.343,65.807,7.697
5174.878,69.210,66.070,8.069
5176.068,67.236,67.883,9.311
5177.259,67.344,67.714,9.967
5178.453,67.063,66.510,10.064
5179.644,67.673,65.367,9.975
5180.838,66.741,64.170,9.850
5182.030,63.829,62.878,9.685
5183.225,64.394,62.177,8.950
5184.418,64.956,61.506,7.819
5185.610,67.374,62.200,7.487
5186.806,68.373,63.335,8.793
5187.999,68.355,64.588,10.492
5189.196,69.475,68.333,11.151
5190.389,70.019,67.676,11.080
5191.586,68.668,69.046,10.646
5192.781,69.994,66.145,9.941
5193.978,71.190,62.955,9.777
5195.173,72.296,65.935,10.101
5196.368,75.693,67.154,10.111
5197.566,75.639,67.811,9.983
5198.762,77.967,70.604,10.455
5199.961,81.269,71.025,10.991
5201.157,83.203,69.050,11.083
5202.357,86.027,68.946,11.074
5203.553,91.220,72.678,11.215
5204.750,98.420,79.604,11.033
5205.951,111.079,93.723,10.083
5207.148,143.214,129.066,9.209
5208.349,227.147,180.862,9.312
5209.547,331.025,219.832,9.797
5210.748,327.450,209.717,10.060
5211.947,212.476,154.579,10.084
5213.146,117.676,105.669,10.218
5214.348,84.634,80.976,10.421
5215.548,73.470,71.856,10.141
5216.751,70.031,66.425,9.682
5217.951,71.711,65.552,9.987
5219.154,71.898,66.450,10.470
5220.355,69.113,66.133,10.759
5221.556,64.939,63.669,10.988
5222.760,62.606,62.293,10.880
5223.961,62.417,64.483,11.090
5225.166,64.464,66.484,11.363
5226.368,65.491,66.445,10.687
5227.573,66.407,67.639,9.464
5228.776,68.169,67.429,8.967
5229.978,66.429,66.061,9.331
5231.184,65.498,66.100,9.912
5232.388,66.992,67.001,10.274
5233.594,68.784,67.124,10.330
5234.798,66.692,66.213,9.989
5236.006,65.254,65.536,9.687
5237.210,67.604,68.372,9.991
5238.415,66.147,72.677,10.742
5239.623,66.979,68.554,11.527
5240.828,66.745,65.264,11.729
5242.037,65.585,63.333,10.912
5243.243,65.572,61.551,10.132
5244.452,65.634,61.887,9.993
5245.658,64.913,63.343,10.014
5246.865,64.850,59.771,10.268
5248.075,66.252,65.203,10.127
5249.282,67.532,69.458,9.958
5250.493,67.048,69.765,10.181
5251.701,66.436,68.965,10.384
5252.912,65.183,67.857,10.432
5254.120,66.928,63.221,10.050
5255.329,66.676,63.084,10.198
5256.541,64.764,65.213,11.230
5257.750,68.024,66.032,11.859
5258.962,68.206,65.561,11.750
5260.172,67.668,65.641,10.953
5261.385,69.521,66.738,10.315
5262.595,70.660,69.713,9.928
5263.806,68.373,68.283,9.142
5265.020,67.658,69.515,8.540
5266.231,70.131,72.800,8.489
5267.446,69.889,71.611,8.543
5268.657,66.783,67.456,8.801
5269.872,66.538,66.214,8.996
5271.085,65.541,66.263,8.750
5272.297,66.632,66.162,8.909
5273.513,67.395,66.893,9.427
5274.726,67.352,68.501,9.609
5275.942,68.292,67.691,10.185
5277.156,68.525,67.051,10.818
5278.373,65.702,66.524,10.825
5279.587,65.540,67.936,10.566
5280.805,66.655,68.836,10.217
5282.020,69.164,68.402,9.917
5283.235,65.971,71.446,9.631
5284.453,65.796,64.092,9.481
5285.669,66.800,61.434,9.592
5286.888,65.031,63.259,10.066
5288.104,68.734,63.924,10.438
5289.323,69.043,63.952,10.387
5290.540,63.652,69.800,10.432
5291.757,66.503,69.936,10.323
5292.977,68.817,69.801,10.081
5294.195,66.179,70.372,10.035
5295.416,68.103,68.587,10.310
5296.634,67.037,65.472,10.293
5297.856,67.878,69.072,9.774
5299.074,70.048,72.424,9.822
5300.293,68.136,70.691,10.324
5301.516,66.237,69.081,10.748
5302.735,66.465,68.689,10.565
5303.958,65.041,65.990,10.266
5305.178,65.158,61.442,10.301
5306.402,67.404,63.138,10.414
5307.622,65.845,66.533,10.736
5308.843,67.861,67.908,10.600
5310.067,67.710,67.606,10.433
5311.289,70.153,67.134,10.350
5312.514,66.561,66.048,10.370
5313.736,66.595,65.869,10.954
5314.961,65.819,65.551,11.093
5316.184,67.491,65.572,10.527
5317.407,67.596,66.462,10.154
5318.633,69.160,68.256,10.253
5319.857,64.004,70.337,10.486
5321.083,68.478,69.995,10.466
5322.308,68.531,67.130,10.389
5323.535,68.286,68.356,10.448
5324.760,65.732,71.929,10.228
5325.985,69.864,72.138,10.387
5327.213,64.894,70.921,10.382
5328.438,69.120,68.270,9.613
5329.667,65.147,68.754,9.053
5330.893,63.772,66.789,9.859
5332.122,66.364,63.471,11.007
5333.349,65.325,63.930,10.910
5334.576,66.670,65.218,10.625
5335.806,65.318,64.465,10.681
5337.033,64.591,64.849,10.327
5338.264,66.058,65.876,10.507
5339.492,65.561,67.190,10.714
5340.724,65.000,68.258,10.352
5341.952,65.616,66.949,9.928
5343.181,68.222,66.328,10.250
5344.413,66.478,65.567,11.033
5345.643,68.266,65.178,10.654
5346.875,66.117,64.894,10.220
5348.105,65.853,65.225,10.547
5349.339,66.420,67.787,10.486
5350.569,66.493,64.336,10.467
5351.800,63.764,64.455,10.952
5353.034,64.899,66.965,10.752
5354.266,66.466,67.953,10.184
5355.500,67.069,66.707,10.527
5356.732,66.699,65.812,11.186
5357.968,67.561,65.899,11.433
5359.200,67.884,65.746,11.060
5360.433,65.171,65.295,10.568
5361.669,67.118,64.605,10.295
5362.903,67.270,64.407,9.970
5364.139,67.023,66.561,9.707
5365.373,68.014,69.661,9.371
5366.611,68.042,71.271,9.349
5367.845,70.453,71.984,9.884
5369.080,70.796,72.097,10.234
5370.318,68.470,71.242,9.956
5371.554,68.163,69.774,9.580
5372.792,68.364,67.764,9.377
5374.028,66.898,66.136,9.613
5375.268,63.512,62.693,10.441
5376.504,62.542,58.078,10.698
5377.744,62.492,55.904,10.411
5378.981,60.778,58.185,10.272
5380.218,60.600,61.299,10.194
5381.459,62.763,60.798,10.134
5382.697,61.450,60.448,10.445
5383.938,61.871,63.403,10.266
5385.177,63.140,68.250,10.029
5386.419,67.451,70.919,10.123
5387.658,65.116,72.692,10.210
5388.897,69.381,74.556,10.022
5390.140,65.454,72.515,9.757
5391.380,65.997,68.133,9.732
5392.623,64.709,63.578,10.074
5393.864,66.096,55.731,10.151
5395.108,65.689,60.930,9.615
5396.349,63.689,68.123,9.580
5397.590,64.674,67.294,9.512
5398.835,67.760,65.220,9.300
5400.077,70.420,68.193,9.470
5401.322,66.228,63.416,9.801
5402.565,69.788,63.037,9.834
5403.810,67.413,65.091,9.754
5405.054,67.675,64.618,9.489
5406.297,69.953,66.489,8.991
5407.544,77.142,75.163,9.267
5408.788,83.104,80.044,9.645
5410.035,86.027,80.415,9.734
5411.280,82.041,79.598,9.701
5412.527,76.185,75.366,9.787
5413.773,70.250,68.598,10.144
5415.018,68.345,64.312,10.083
5416.267,68.853,64.612,10.135
5417.513,65.350,60.874,10.182
5418.762,66.642,61.064,10.158
5420.008,64.214,63.895,10.357
5421.258,62.988,65.871,10.258
5422.505,67.203,66.403,10.096
5423.753,65.716,66.888,10.150
5425.004,66.494,64.964,10.019
5426.252,66.556,67.437,9.824
5427.503,69.082,66.387,10.262
5428.752,66.167,63.895,10.551
5430.003,65.111,65.988,10.196
5431.253,66.660,64.963,9.884
5432.502,67.268,67.891,10.021
5433.755,66.273,67.391,10.404
5435.005,66.270,65.203,10.514
5436.258,66.606,62.865,10.075
5437.509,65.496,59.648,9.957
5438.763,63.505,57.502,10.204
5440.014,63.973,60.229,10.474
5441.265,66.717,62.328,10.950
5442.520,66.756,64.809,11.010
5443.772,66.272,67.633,10.810
5445.027,66.597,67.228,10.641
5446.280,68.726,62.219,10.257
5447.536,65.390,63.488,10.041
5448.789,66.286,66.937,10.022
5450.043,68.105,68.256,10.690
5451.299,67.017,67.387,10.966
5452.553,67.552,66.862,10.796
5453.811,65.552,67.846,10.823
5455.065,68.390,67.804,10.526
5456.323,67.881,68.004,10.360
5457.578,69.058,67.552,10.337
5458.834,66.572,65.980,11.109
5460.093,67.507,64.459,14.527
5461.349,67.956,64.347,23.368
5462.608,66.903,63.343,30.338
5463.865,68.796,62.325,24.414
5465.125,65.755,64.345,14.824
5466.382,65.120,67.063,12.508
5467.640,66.993,66.780,11.560
5468.900,66.139,66.506,11.462
5470.159,67.034,66.979,11.418
5471.420,68.882,70.365,11.108
5472.679,69.232,72.244,10.859
5473.941,70.495,70.097,10.885
5475.200,67.954,65.785,10.770
5476.463,67.282,62.535,10.436
5477.722,65.608,60.760,10.245
5478.982,64.287,59.387,9.855
5480.246,64.829,60.070,10.303
5481.507,65.718,61.275,10.937
5482.771,65.022,60.443,10.955
5484.032,65.648,60.247,11.277
5485.297,66.690,63.452,11.600
5486.558,67.221,65.984,11.479
5487.821,65.929,65.448,11.208
5489.086,68.473,65.344,10.750
5490.349,66.723,68.426,10.421
5491.615,68.407,68.768,10.809
5492.878,69.732,66.945,11.035
5494.145,71.159,66.997,10.581
5495.409,66.463,65.400,10.462
5496.673,69.243,63.048,10.510
5497.941,68.160,63.739,10.890
5499.205,67.400,65.515,11.107
5500.473,68.339,68.393,11.026
5501.739,68.384,69.508,11.271
5503.008,70.254,69.718,11.081
5504.274,71.622,70.218,10.955
5505.540,71.876,71.029,11.016
5506.809,71.877,71.487,10.998
5508.076,69.165,70.418,10.911
5509.346,68.273,66.730,10.925
5510.614,69.210,64.681,10.970
5511.884,70.121,64.261,11.053
5513.152,70.055,63.111,10.937
5514.421,68.583,63.924,10.965
5515.692,68.198,66.578,10.958
5516.961,68.134,65.982,11.072
5518.233,66.854,67.544,11.270
5519.503,69.771,70.925,11.114
5520.776,71.239,70.715,11.366
5522.046,71.331,68.643,11.947
5523.316,69.543,69.786,11.530
5524.590,70.882,70.478,11.192
5525.861,70.536,70.805,11.245
5527.135,69.585,71.447,11.301
5528.406,70.466,71.167,11.220
5529.681,71.879,68.328,10.447
5530.953,67.221,67.592,10.614
5532.226,71.478,68.418,10.903
5533.501,69.550,69.222,11.083
5534.774,70.591,69.758,11.034
5536.051,71.697,69.519,10.865
5537.324,68.123,67.101,10.742
5538.601,69.666,68.938,10.871
5539.875,68.211,66.182,11.187
5541.150,68.181,64.647,11.375
