Wavelength,Flux,BestFit,SkyFlux
3968.258,63.543,74.978,5.776
3969.173,66.212,71.691,5.029
3970.086,70.044,70.914,4.889
3971.002,67.942,70.910,5.415
3971.915,65.226,78.068,6.460
3972.831,66.785,80.323,7.886
3973.745,65.969,74.850,9.369
3974.659,61.904,73.631,10.743
3975.576,65.452,69.199,11.942
3976.490,66.543,68.478,12.926
3977.407,62.369,75.647,13.351
3978.322,68.800,75.605,13.271
3979.240,68.687,69.149,13.454
3980.155,67.777,72.393,14.393
3981.071,62.245,66.376,15.434
3981.989,58.389,66.015,15.718
3982.905,57.380,63.146,15.109
3983.823,56.263,61.654,14.430
3984.740,62.257,61.597,14.403
3985.659,57.809,54.504,14.519
3986.576,54.244,49.014,13.797
3987.493,50.926,47.114,13.589
3988.412,50.223,43.544,14.639
3989.330,47.446,43.854,15.575
3990.250,56.006,47.999,15.571
3991.168,63.162,46.429,14.923
3992.088,58.200,41.940,14.611
3993.006,52.922,37.152,14.922
3993.925,46.850,40.679,15.552
3994.846,51.292,46.568,15.581
3995.765,48.403,49.335,14.811
3996.686,56.921,52.712,14.367
3997.606,58.377,58.676,14.124
3998.528,60.193,65.150,14.498
3999.447,62.509,69.171,15.375
4000.368,66.733,70.653,16.173
4001.290,67.852,72.703,16.217
4002.211,65.282,76.739,15.747
4003.133,73.314,75.856,15.620
4004.054,69.686,79.771,15.849
4004.978,71.674,78.128,15.073
4005.899,73.379,77.006,13.876
4006.821,67.554,80.616,14.117
4007.745,66.538,82.764,15.882
4008.666,69.781,86.767,17.327
4009.591,71.631,82.009,17.657
4010.513,70.730,82.157,17.310
4011.438,69.379,85.329,17.408
4012.361,71.043,84.511,17.913
4013.284,72.247,81.376,17.853
4014.209,68.340,82.746,18.079
4015.133,69.697,81.169,18.118
4016.059,70.385,78.670,17.684
4016.983,72.049,79.555,16.753
4017.909,71.095,82.792,15.965
4018.833,70.783,84.141,15.926
4019.758,73.828,87.277,16.687
4020.685,76.189,87.371,17.613
4021.610,80.398,90.963,18.041
4022.537,76.443,94.735,17.436
4023.462,78.448,95.639,16.778
4024.390,87.671,98.692,17.151
4025.316,87.398,106.928,17.250
4026.242,89.081,105.125,16.804
4027.171,80.659,92.247,16.349
4028.097,72.761,83.644,16.525
4029.026,73.253,81.629,17.037
4029.953,68.023,75.643,16.921
4030.882,65.891,80.555,15.786
4031.809,67.375,79.493,14.765
4032.739,67.009,78.368,14.425
4033.667,64.340,78.094,14.385
4034.595,66.332,75.878,14.335
4035.525,72.277,72.699,14.422
4036.453,68.188,73.061,15.042
4037.384,62.596,68.479,16.241
4038.313,64.426,62.658,17.417
4039.244,61.783,59.964,17.768
4040.173,58.965,59.291,17.102
4041.103,60.308,55.973,16.479
4042.035,55.793,51.055,17.340
4042.965,54.893,48.353,18.678
4043.897,57.445,49.478,18.684
4044.827,66.456,57.154,17.861
4045.760,79.191,67.362,18.367
4046.691,86.034,68.981,21.847
